trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
440,False,"{'a': 0.4, 'e': 0.01227733990306844}",30,20,16.7025472754412,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.4, 'e': 0.012155178329914938}",20,9,17.32128428928962,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.4, 'e': 0.012034232284723778}",20,14,10.759323836513207,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.4, 'e': 0.011914489672789649}",20,16,7.834719121691629,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.4, 'e': 0.011795938519751564}",20,15,11.107753222116425,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.4, 'e': 0.011678566970395446}",20,5,25.116661146287722,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.4, 'e': 0.01156236328746854}",20,14,9.977446855275367,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.4, 'e': 0.011447315850505714}",20,15,8.770644384362004,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.4, 'e': 0.01133341315466739}",25,15,21.38495845809485,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.4, 'e': 0.011220643809589087}",25,16,15.652051530615672,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.4, 'e': 0.01110899653824231}",20,16,9.006238359220841,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.4, 'e': 0.010998460175806885}",20,14,0.3083273809514404,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
452,False,"{'a': 0.4, 'e': 0.010889023668554444}",25,9,26.177142666143528,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.4, 'e': 0.010780676072743085}",25,5,35.741899635093546,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.4, 'e': 0.010673406553522929}",25,13,20.807118808480276,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.4, 'e': 0.010567204383852658}",20,4,27.69937821882945,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.4, 'e': 0.010462058943426797}",20,11,19.014773375878594,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.4, 'e': 0.0103579597176137}",25,11,26.402215201797503,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.4, 'e': 0.010254896296404024}",20,13,10.514253224776972,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.4, 'e': 0.010152858373369766}",20,12,16.37819997596304,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.4, 'e': 0.010051835744633579}",20,13,15.990680311748026,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.4, 'e': 0.009951818307848422}",20,10,20.130712100793794,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.4, 'e': 0.009852796061187259}",25,15,18.57452781656255,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,False,"{'a': 0.4, 'e': 0.009754759102342905}",20,12,18.393466185037227,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,False,"{'a': 0.4, 'e': 0.00965769762753778}",20,14,13.194920077388723,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.4, 'e': 0.009561601930543506}",20,6,24.94070956798483,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'a': 0.4, 'e': 0.009466462401710325}",25,18,10.577573492954873,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.4, 'e': 0.00937226952700606}",30,16,27.17619210950989,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.4, 'e': 0.009279013887064745}",20,9,19.47655808535026,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.4, 'e': 0.009186686156244666}",20,8,22.898117980582537,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.4, 'e': 0.009095277101695817}",20,12,13.988093235634816,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.4, 'e': 0.009004777582436561}",20,12,13.327795376985318,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.4, 'e': 0.008915178548439555}",25,15,16.44357115557061,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.4, 'e': 0.008826471039726724}",25,10,30.36731274403173,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.4, 'e': 0.008738646185473292}",25,20,8.972313290288561,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,False,"{'a': 0.4, 'e': 0.008651695203120636}",20,10,17.191639335069702,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,False,"{'a': 0.4, 'e': 0.008565609397498062}",20,16,10.301350279908746,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.4, 'e': 0.008480380159953263}",30,16,27.650009456647343,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.4, 'e': 0.008395998967491472}",20,12,14.584914988848457,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.4, 'e': 0.00831245738192312}",25,8,18.417969208633203,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
480,False,"{'a': 0.4, 'e': 0.008229747049020032}",20,16,7.951569440911381,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.4, 'e': 0.008147859697679984}",25,13,20.856139815477494,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.4, 'e': 0.008066787139099616}",20,14,11.673298287043785,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.4, 'e': 0.007986521265955504}",20,9,18.229128024124417,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.4, 'e': 0.007907054051593443}",20,12,12.214558223554588,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.4, 'e': 0.00782837754922577}",20,8,20.46706257343217,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.4, 'e': 0.007750483891136694}",25,13,22.118611899886822,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.4, 'e': 0.007673365287895491}",20,0,30.57871238720517,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
488,False,"{'a': 0.4, 'e': 0.00759701402757757}",25,17,13.492659442301216,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.4, 'e': 0.007521422474993272}",25,20,9.029144737719317,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.4, 'e': 0.00744658307092434}",20,5,23.318250867482394,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,False,"{'a': 0.4, 'e': 0.007372488331368014}",20,16,7.562611740458673,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
492,False,"{'a': 0.4, 'e': 0.007299130846788585}",20,15,-1.1843973197214552,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
493,False,"{'a': 0.4, 'e': 0.007226503281376464}",25,11,24.54351629459369,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
494,False,"{'a': 0.4, 'e': 0.007154598372314581}",25,16,17.00965814912664,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
495,False,"{'a': 0.4, 'e': 0.007083408929052121}",30,24,13.485798964933394,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
496,False,"{'a': 0.4, 'e': 0.007012927832585426}",25,16,17.423209646176524,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
497,False,"{'a': 0.4, 'e': 0.006943148034746116}",20,12,14.661966824829609,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
498,False,"{'a': 0.4, 'e': 0.006874062557496251}",25,4,34.21119477143513,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
499,False,"{'a': 0.4, 'e': 0.006805664492230545}",20,13,12.911581557672461,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
500,False,"{'a': 0.4, 'e': 0.006737946999085469}",30,16,25.32714455475542,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.4, 'e': 0.006670903306255276}",25,15,17.347773808560824,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
502,False,"{'a': 0.4, 'e': 0.006604526709314807}",20,14,13.164256048881164,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,False,"{'a': 0.4, 'e': 0.006538810570549065}",25,11,21.643892854379533,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,False,"{'a': 0.4, 'e': 0.006473748318289407}",35,20,22.706973637147627,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.4, 'e': 0.006409333446256385}",20,10,20.025272874056554,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
506,False,"{'a': 0.4, 'e': 0.006345559512909112}",20,13,16.8464400764785,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,False,"{'a': 0.4, 'e': 0.006282420140801119}",20,13,13.1456467360109,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.4, 'e': 0.0062199090159425745}",30,13,26.807667649730092,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
509,False,"{'a': 0.4, 'e': 0.006158019887168899}",25,4,37.11550482042577,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,False,"{'a': 0.4, 'e': 0.006096746565515634}",30,8,39.39048510949898,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
511,False,"{'a': 0.4, 'e': 0.0060360829235995665}",20,11,16.64147755344864,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
